sku	titolo	descrizione	prezzo	prezzo_originale	url	immagine	categoria	marca	ean	disponibilita	tempi_consegna	spese_spedizione	condizione
0612060	Candelieri in acciaio inox Ø 25 mm. H 600 mm.	Candelieri in acciaio inox Ø 25 mm. H 600 mm. I candelieri in acciaio inox da 25 mm di diametro e 600 mm di altezza sono elementi strutturali fondamentali per il corrimano e le battagliole di bordo, pensati per garantire sicurezza e robustezza nel tempo.	26.27	36.78	https://www.onautica.com/products/candelieri-in-acciaio-inox-o-25-mm-h-600-mm?variant=52577423360347&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Candelieri_in_acciaio_inox_25_mm._H_600_mm.png?v=1773341637	Nautica;Vela;Accessori Albero	Motomarine	8033626023025	limitata	2-4 giorni lavorativi	5.90	nuovo
751009	Cavallotti in Acciaio Zincato per Rimorchio - 43xL120 mm. M10	Questa serie di staffe ad U è il componente essenziale per fissare i rulli (fissi o basculanti) al telaio del rimorchio porta imbarcazioni. La Staffa ad U garantisce un bloccaggio stabile e sicuro del perno o della staffa del rullo al tubo del telaio. Car	5.04	7.60	https://www.onautica.com/products/staffa-ad-u-fissaggio-rulli?variant=52513499906395&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavallotirimorchioa.png?v=1763578343	Nautica;Carrelli;Accessori Carrelli	Osculati		disponibile	2-4 giorni lavorativi	5.90	nuovo
751022	Cavallotti in Acciaio Zincato per Rimorchio - 63xL120 mm. M10	Questa serie di staffe ad U è il componente essenziale per fissare i rulli (fissi o basculanti) al telaio del rimorchio porta imbarcazioni. La Staffa ad U garantisce un bloccaggio stabile e sicuro del perno o della staffa del rullo al tubo del telaio. Car	5.05	9.10	https://www.onautica.com/products/staffa-ad-u-fissaggio-rulli?variant=52545006993755&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavallotirimorchioa.png?v=1763578343	Nautica;Carrelli;Accessori Carrelli	Osculati		disponibile	2-4 giorni lavorativi	5.90	nuovo
751036	Cavallotti in Acciaio Zincato per Rimorchio - 73xL120 mm. M10	Questa serie di staffe ad U è il componente essenziale per fissare i rulli (fissi o basculanti) al telaio del rimorchio porta imbarcazioni. La Staffa ad U garantisce un bloccaggio stabile e sicuro del perno o della staffa del rullo al tubo del telaio. Car	5.56	10.01	https://www.onautica.com/products/staffa-ad-u-fissaggio-rulli?variant=52545007059291&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavallotirimorchioa.png?v=1763578343	Nautica;Carrelli;Accessori Carrelli	Osculati		disponibile	2-4 giorni lavorativi	5.90	nuovo
751038	Cavallotti in Acciaio Zincato per Rimorchio - 73xL140 mm. M10	Questa serie di staffe ad U è il componente essenziale per fissare i rulli (fissi o basculanti) al telaio del rimorchio porta imbarcazioni. La Staffa ad U garantisce un bloccaggio stabile e sicuro del perno o della staffa del rullo al tubo del telaio. Car	5.05	9.10	https://www.onautica.com/products/staffa-ad-u-fissaggio-rulli?variant=52545007092059&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavallotirimorchioa.png?v=1763578343	Nautica;Carrelli;Accessori Carrelli	Osculati		limitata	2-4 giorni lavorativi	5.90	nuovo
751046	Cavallotti in Acciaio Zincato per Rimorchio - 93xL120 mm. M10	Questa serie di staffe ad U è il componente essenziale per fissare i rulli (fissi o basculanti) al telaio del rimorchio porta imbarcazioni. La Staffa ad U garantisce un bloccaggio stabile e sicuro del perno o della staffa del rullo al tubo del telaio. Car	5.64	10.16	https://www.onautica.com/products/staffa-ad-u-fissaggio-rulli?variant=52545007124827&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavallotirimorchioa.png?v=1763578343	Nautica;Carrelli;Accessori Carrelli	Osculati		disponibile	2-4 giorni lavorativi	5.90	nuovo
751048	Cavallotti in Acciaio Zincato per Rimorchio - 115xL120 mm. M12	Questa serie di staffe ad U è il componente essenziale per fissare i rulli (fissi o basculanti) al telaio del rimorchio porta imbarcazioni. La Staffa ad U garantisce un bloccaggio stabile e sicuro del perno o della staffa del rullo al tubo del telaio. Car	6.87	12.36	https://www.onautica.com/products/staffa-ad-u-fissaggio-rulli?variant=52545007157595&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavallotirimorchioa.png?v=1763578343	Nautica;Carrelli;Accessori Carrelli	Osculati		disponibile	2-4 giorni lavorativi	5.90	nuovo
02.091.02	Cavo Acciaio Zincato per Verricello tipo "Aircraft" - Ø 5 mm. - 7.5 mt.	Questo cavo è un componente di ricambio essenziale per i verricelli e gli arganelli a mano. È realizzato in acciaio zincato flessibile di tipo **“Aircraft”**, offrendo un'eccellente combinazione di resistenza meccanica e flessibilità, essenziale per il co	15.34	27.62	https://www.onautica.com/products/cavo-verricello-acciaio-zincato-aircraft-moschettone?variant=52543881773403&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavo_verricello_6_mm._x_7_5_mt.png?v=1773341643	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137070150	limitata	2-4 giorni lavorativi	5.90	nuovo
02.091.03	Cavo Acciaio Zincato per Verricello tipo "Aircraft" - Ø 6 mm. - 7.5 mt.	Questo cavo è un componente di ricambio essenziale per i verricelli e gli arganelli a mano. È realizzato in acciaio zincato flessibile di tipo **“Aircraft”**, offrendo un'eccellente combinazione di resistenza meccanica e flessibilità, essenziale per il co	21.78	39.21	https://www.onautica.com/products/cavo-verricello-acciaio-zincato-aircraft-moschettone?variant=52513501053275&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Cavo_verricello_6_mm._x_7_5_mt.png?v=1773341643	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137070167	limitata	2-4 giorni lavorativi	5.90	nuovo
03.182.09	Cavo Parafil 9 mm in Terylene con Guaina Bianca in Alkathene – Vendita al Metro	Cavo Parafil 9 mm – Filato in Terylene con Guaina Bianca in Alkathene, Vendita al Metro Lineare Il cavo Parafil 9 mm venduto al metro lineare è la soluzione ideale per chi ha bisogno della quantità esatta per il proprio progetto a bordo, senza dover acqui	5.32	7.18	https://www.onautica.com/products/cavo-parafil-9mm-terylene-guaina-bianca-vendita-metro?variant=52865378648411&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cavo-parafil-9mm-terylene-guaina-bianca-alkathene-vendita-metro.webp?v=1777025834	Nautica;Vela;Accessori Albero	Osculati	8033137072727	disponibile	2-4 giorni lavorativi	5.90	nuovo
02.024.10	Cavo Prolunga Rimorchio 2 Spine 13 Poli 10 m 12V per Carrelli Portabarche	Cavo Prolunga Rimorchio 2 Spine 13 Poli 10 m 12V – Connessione Europea Impermeabile per Carrelli Portabarche Il cavo prolunga rimorchio a 2 spine 13 poli da 10 metri a 12V è la soluzione ideale per il trasferimento del segnale elettronico tra veicolo trai	44.48	80.06	https://www.onautica.com/products/cavo-prolunga-rimorchio-2-spine-13-poli-10m-12v-portabarche?variant=52577368998235&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cavo-prolunga-rimorchio-2-spine-13-poli-10m-12v-portabarche.webp?v=1776348997	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137068485	limitata	2-4 giorni lavorativi	5.90	nuovo
02.024.09	Cavo Prolunga Rimorchio 2 Spine 13 Poli 7 m 12V per Carrelli Portabarche	Cavo Prolunga Rimorchio 2 Spine 13 Poli 7 m 12V – Connessione Europea Impermeabile per Carrelli Portabarche Il cavo prolunga rimorchio a 2 spine 13 poli da 7 metri a 12V è la soluzione ideale per il trasferimento del segnale elettronico tra veicolo traina	33.54	46.96	https://www.onautica.com/products/cavo-prolunga-rimorchio-2-spine-13-poli-7m-12v-portabarche?variant=52577426833755&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cavo-prolunga-rimorchio-2-spine-13-poli-7m-12v-portabarche.webp?v=1776336608	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137068478	limitata	2-4 giorni lavorativi	5.90	nuovo
02.024.05	Cavo Prolunga Rimorchio 2 Spine 7 Poli 8 m 12V per Carrelli Portabarche	Cavo Prolunga Rimorchio 2 Spine 7 Poli 8 m 12V – Connessione Europea Impermeabile per Carrelli Portabarche Il cavo prolunga rimorchio a 2 spine 7 poli da 8 metri a 12V è la soluzione ideale per il trasferimento del segnale elettronico tra veicolo trainant	23.21	32.49	https://www.onautica.com/products/cavo-prolunga-rimorchio-2-spine-7-poli-8m-12v-portabarche?variant=52577426243931&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cavo-prolunga-rimorchio-2-spine-7-poli-8m-12v-portabarche.webp?v=1776348875	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137068430	limitata	2-4 giorni lavorativi	5.90	nuovo
02.024.03	Cavo Prolunga Rimorchio 7 Poli 10 m 12V per Carrelli Portabarche	Cavo Prolunga Rimorchio 7 Poli 10 m 12V – Connessione Europea Impermeabile per Carrelli Portabarche Il cavo prolunga rimorchio a 7 poli da 10 metri a 12V è la soluzione ideale per il trasferimento del segnale elettronico tra veicolo trainante e rimorchio	35.01	49.01	https://www.onautica.com/products/cavo-prolunga-rimorchio-7-poli-10m-12v-portabarche?variant=52577426997595&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cavo-prolunga-rimorchio-7-poli-10m-12v-carrelli-portabarche.webp?v=1776336487	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137068423	limitata	2-4 giorni lavorativi	5.90	nuovo
750361	Cerchio Ruota 3,50x10" per Rimorchio – Cerchione 4 Fori per Carrello Nautico	Cerchio per ruota del rimorchio. Dischi profilo e calettamento Fori Pneumatici abbinabili Interasse fori Ø foro centrale 3,50x10" 4 145 x 10" 98 mm. 58 mm. Caratteristiche principali Cerchio specificamente progettato per rimorchi nautici Misura 3,50x10" c	29.34	52.80	https://www.onautica.com/products/cerchio-ruota-3-50x10-145x10?variant=52577369588059&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/750358.jpg?v=1773341949	Nautica;Carrelli;Accessori Carrelli	GFN		limitata	2-4 giorni lavorativi	5.90	nuovo
750373	Cerchio ruota 4,50X13" (155/80 R13" - 165/80 R13")	Cerchio per ruota del rimorchio. Dischi profilo e calettamento Fori Pneumatici abbinabili Interasse fori Ø foro centrale 4,50x13" 4 155/80 R 13" 165/80 R 13" 98 mm. 58 mm. Caratteristiche principali Compatibile con pneumatici 155/80 R13" e 165/80 R13" per	56.50	101.71	https://www.onautica.com/products/cerchio-ruota-4-50x13-155-80-r13-165-80-r13?variant=52577529692507&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/750358.jpg?v=1773341949	Nautica;Carrelli;Accessori Carrelli	GFN		limitata	2-4 giorni lavorativi	5.90	nuovo
3015063	Cinghia di Sicurezza Navigazione CE ISO12401 – Moschettoni Inox - 100<>200 cm. con 2 moschettone	La Cinghia di Sicurezza (o "ombelicale") è il dispositivo di protezione individuale fondamentale per prevenire la caduta fuoribordo durante la navigazione notturna, in solitaria o con mare formato. Questo modello è realizzato in nastro di Poliestere ad al	37.89	60.60	https://www.onautica.com/products/cinghia-sicurezza-ce-inox?variant=52516818157915&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cinghia-sicurezza-2moschettone-inox100-200.png?v=1770048050	Nautica;Sicurezza;Ricambi Giubbotti	Motomarine	3015063	limitata	2-4 giorni lavorativi	5.90	nuovo
3015065	Cinghia Sicurezza Offshore Alluminio – Leggera e Certificata - L. 200 cm.	Le Cinghie di Sicurezza Offshore rappresentano l'eccellenza per la sicurezza personale in alto mare, combinando la robustezza necessaria per le condizioni estreme con una leggerezza senza pari. A differenza delle cinghie tradizionali, questo modello monta	92.65	148.20	https://www.onautica.com/products/cinghia-sicurezza-offshore-alluminio?variant=52513511604571&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cinghia-sicurezza-offshore-alluminio.png?v=1770054974	Nautica;Sicurezza;Ricambi Giubbotti	Motomarine	8033626284549	disponibile	2-4 giorni lavorativi	5.90	nuovo
3015067	Cinghia Sicurezza Offshore Alluminio – Leggera e Certificata - L. 140<>200 cm.	Le Cinghie di Sicurezza Offshore rappresentano l'eccellenza per la sicurezza personale in alto mare, combinando la robustezza necessaria per le condizioni estreme con una leggerezza senza pari. A differenza delle cinghie tradizionali, questo modello monta	142.45	227.90	https://www.onautica.com/products/cinghia-sicurezza-offshore-alluminio?variant=52516637475163&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/cinghia-sicurezza-offshore-alluminio.png?v=1770054974	Nautica;Sicurezza;Ricambi Giubbotti	Motomarine		disponibile	2-4 giorni lavorativi	5.90	nuovo
23.155.03	Cintura di Sicurezza EURO Harness Osculati – Nastro Poliestere e Fibbia Inox, DPI Reg. (UE) 2016/425 - Bambini fino a 20 kg	Cintura di sicurezza EURO Harness La cintura di sicurezza EURO Harness è l'imbracatura da equipaggio a cui si aggancia il cordone ombelicale (tether) per collegarsi ai punti fissi in coperta o alla linea di vita. È fabbricata in morbido nastro di polieste	63.80	82.94	https://www.onautica.com/products/cintura-di-sicurezza-euro-harness-osculati-nastro-poliestere-e-fibbia-inox-dpi-reg-ue-2016-425?variant=53733332058459&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/EN_23.155.01-02.webp?v=1786123154	Nautica;Sicurezza;Ricambi Giubbotti	Osculati	8033137044229	disponibile	2-4 giorni lavorativi	5.90	nuovo
23.155.02	Cintura di Sicurezza EURO Harness Osculati – Nastro Poliestere e Fibbia Inox, DPI Reg. (UE) 2016/425 - Ragazzi 20-50 kg	Cintura di sicurezza EURO Harness La cintura di sicurezza EURO Harness è l'imbracatura da equipaggio a cui si aggancia il cordone ombelicale (tether) per collegarsi ai punti fissi in coperta o alla linea di vita. È fabbricata in morbido nastro di polieste	65.60	85.28	https://www.onautica.com/products/cintura-di-sicurezza-euro-harness-osculati-nastro-poliestere-e-fibbia-inox-dpi-reg-ue-2016-425?variant=53733332091227&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/EN_23.155.01-02.webp?v=1786123154	Nautica;Sicurezza;Ricambi Giubbotti	Osculati	8033137044212	disponibile	2-4 giorni lavorativi	5.90	nuovo
23.155.01	Cintura di Sicurezza EURO Harness Osculati – Nastro Poliestere e Fibbia Inox, DPI Reg. (UE) 2016/425 - Adulti oltre 50 kg	Cintura di sicurezza EURO Harness La cintura di sicurezza EURO Harness è l'imbracatura da equipaggio a cui si aggancia il cordone ombelicale (tether) per collegarsi ai punti fissi in coperta o alla linea di vita. È fabbricata in morbido nastro di polieste	68.10	88.53	https://www.onautica.com/products/cintura-di-sicurezza-euro-harness-osculati-nastro-poliestere-e-fibbia-inox-dpi-reg-ue-2016-425?variant=53733332123995&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/EN_23.155.01-02.webp?v=1786123154	Nautica;Sicurezza;Ricambi Giubbotti	Osculati	8033137044205	disponibile	2-4 giorni lavorativi	5.90	nuovo
02.029.57	Coppia staffe multiforo 100x100 mm.	Coppia di staffe multiforo da 100x100 mm , progettate per il fissaggio dei rulli sui carrelli per imbarcazioni. La configurazione multiforo garantisce versatilità di montaggio e adattabilità a diverse geometrie di carrello. Rulli abbinabili: Misure dispon	12.24	17.14	https://www.onautica.com/products/coppia-staffe-multiforo-100x100-mm?variant=52577431912795&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/Coppia_staffe_multiforo_100x100_mm..png?v=1773341650	Nautica;Carrelli;Accessori Carrelli	Osculati	8033137068843	limitata	2-4 giorni lavorativi	5.90	nuovo
3841010	Copricrocette in PVC Morbido – Per Sartie 10-12 mm	Il Copricrocette in PVC Morbido (Misura Grande) è la protezione essenziale per preservare l'integrità delle vele su imbarcazioni con sartiame dimensionato. Specifico per sartie con diametro da 10 a 12 mm , questo cappuccio in gomma termoplastica avvolge l	10.72	14.47	https://www.onautica.com/products/copricrocette-pvc-sartie-10-12mm?variant=52577511670107&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/copricrocette-pvc-sartie-10-12mm.png?v=1773341885	Nautica;Vela;Accessori Albero	Motomarine	8033626115089	limitata	2-4 giorni lavorativi	5.90	nuovo
3841008	Copricrocette in PVC Morbido – Per Sartie 7-8 mm	Il Copricrocette in PVC Morbido è un accessorio "salvavele" indispensabile per proteggere il Genoa e la Randa dai punti più abrasivi dell'albero: le estremità delle crocette. Realizzato in gomma termoplastica (PVC) flessibile e resistente agli agenti mari	6.97	10.50	https://www.onautica.com/products/copricrocette-pvc-sartie-7-8mm?variant=52577511014747&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/copricrocette-pvc-sartie-7-8mm.png?v=1773341884	Nautica;Vela;Accessori Albero	Motomarine	8033626115072	limitata	2-4 giorni lavorativi	5.90	nuovo
3840044	Copridraglie Navishell Blue Navy con Zip – Tessuto Acrilico - 150 cm. Blu Navy	Il Copridraglie Navishell Blue Navy unisce l'eleganza classica del blu nautico alla funzionalità tecnica, trasformando le draglie in un comodo supporto per la schiena e proteggendo le vele dall'abrasione. Realizzato in tessuto acrilico idrorepellente di a	39.96	53.95	https://www.onautica.com/products/copridraglie-navishell-blue-navy?variant=52513512423771&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/copridraglie-navishell-blu.png?v=1770035549	Nautica;Vela;Accessori Albero	Navishell	8033626366283	limitata	2-4 giorni lavorativi	5.90	nuovo
3840043	Copridraglie Navishell Blue Navy con Zip – Tessuto Acrilico - 100 cm. Blu Navy	Il Copridraglie Navishell Blue Navy unisce l'eleganza classica del blu nautico alla funzionalità tecnica, trasformando le draglie in un comodo supporto per la schiena e proteggendo le vele dall'abrasione. Realizzato in tessuto acrilico idrorepellente di a	34.31	46.32	https://www.onautica.com/products/copridraglie-navishell-blue-navy?variant=52516894081371&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/copridraglie-navishell-blu.png?v=1770035549	Nautica;Vela;Accessori Albero	Navishell	8033626348920	limitata	2-4 giorni lavorativi	5.90	nuovo
3840112	Copridraglie Navishell Grigio con Zip – Tessuto Acrilico UV - 100 cm. Grigio	Il Copridraglie Navishell Grigio è la soluzione ideale per aumentare il comfort in pozzetto e proteggere le vele dallo sfregamento contro i cavi d'acciaio. A differenza dei modelli economici in plastica, questo copridraglie è realizzato in pregiato tessut	31.73	42.84	https://www.onautica.com/products/copridraglie-navishell-grigio?variant=52513512489307&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/copridraglie-navishell-grigio.png?v=1770035574	Nautica;Vela;Accessori Albero	Navishell	8033626351371	limitata	2-4 giorni lavorativi	5.90	nuovo
3840115	Copridraglie Navishell Grigio con Zip – Tessuto Acrilico UV - 150 cm. Grigio	Il Copridraglie Navishell Grigio è la soluzione ideale per aumentare il comfort in pozzetto e proteggere le vele dallo sfregamento contro i cavi d'acciaio. A differenza dei modelli economici in plastica, questo copridraglie è realizzato in pregiato tessut	38.99	52.64	https://www.onautica.com/products/copridraglie-navishell-grigio?variant=52516896211291&utm_source=idealo&utm_medium=cpc&utm_campaign=feed	https://cdn.shopify.com/s/files/1/0879/3191/2539/files/copridraglie-navishell-grigio.png?v=1770035574	Nautica;Vela;Accessori Albero	Navishell	8033626366276	limitata	2-4 giorni lavorativi	5.90	nuovo
